"product_type","year","month","import_value"
"Fruit juices","2018","january",181.91
"Fruit juices","2018","february",189.976
"Fruit juices","2018","march",207.529
"Fruit juices","2018","april",204.601
"Fruit juices","2018","may",217.706
"Fruit juices","2018","june",169.081
"Fruit juices","2018","july",147.754
"Fruit juices","2018","august",169.29
"Fruit juices","2018","september",164.783
"Fruit juices","2018","october",172.252
"Fruit juices","2018","november",193.955
"Fruit juices","2018","december",212.077
"Vegetables & preparations","2018","january",1452.142
"Vegetables & preparations","2018","february",1255.699
"Vegetables & preparations","2018","march",1385.03
"Vegetables & preparations","2018","april",1227.97
"Vegetables & preparations","2018","may",1201.512
"Vegetables & preparations","2018","june",1071.903
"Vegetables & preparations","2018","july",1056.971
"Vegetables & preparations","2018","august",1048.752
"Vegetables & preparations","2018","september",1009.946
"Vegetables & preparations","2018","october",1210.129
"Vegetables & preparations","2018","november",1224.777
"Vegetables & preparations","2018","december",1359.439
"Vegetables, fresh or frozen","2018","january",1146.936
"Vegetables, fresh or frozen","2018","february",971.541
"Vegetables, fresh or frozen","2018","march",1070.853
"Vegetables, fresh or frozen","2018","april",912.925
"Vegetables, fresh or frozen","2018","may",878.667
"Vegetables, fresh or frozen","2018","june",757.139
"Vegetables, fresh or frozen","2018","july",735.597
"Vegetables, fresh or frozen","2018","august",739.529
"Vegetables, fresh or frozen","2018","september",722.494
"Vegetables, fresh or frozen","2018","october",874.789
"Vegetables, fresh or frozen","2018","november",910.669
"Vegetables, fresh or frozen","2018","december",1014.069
"Vegetables, prepared or preserved","2018","january",280.458
"Vegetables, prepared or preserved","2018","february",262.87
"Vegetables, prepared or preserved","2018","march",291.323
"Vegetables, prepared or preserved","2018","april",289.042
"Vegetables, prepared or preserved","2018","may",297.497
"Vegetables, prepared or preserved","2018","june",294.121
"Vegetables, prepared or preserved","2018","july",293.612
"Vegetables, prepared or preserved","2018","august",288.222
"Vegetables, prepared or preserved","2018","september",268.411
"Vegetables, prepared or preserved","2018","october",309.214
"Vegetables, prepared or preserved","2018","november",294.819
"Vegetables, prepared or preserved","2018","december",324.108
"Tree nuts & preparations","2018","january",298.808
"Tree nuts & preparations","2018","february",250.318
"Tree nuts & preparations","2018","march",221.647
"Tree nuts & preparations","2018","april",265.679
"Tree nuts & preparations","2018","may",312.644
"Tree nuts & preparations","2018","june",312.761
"Tree nuts & preparations","2018","july",302.213
"Tree nuts & preparations","2018","august",317.06
"Tree nuts & preparations","2018","september",270.51
"Tree nuts & preparations","2018","october",307.186
"Tree nuts & preparations","2018","november",336.085
"Tree nuts & preparations","2018","december",310.137
"Cotton & linters","2018","january",0.314
"Cotton & linters","2018","february",0.253
"Cotton & linters","2018","march",0.394
"Cotton & linters","2018","april",0.376
"Cotton & linters","2018","may",0.56
"Cotton & linters","2018","june",0.535
"Cotton & linters","2018","july",0
"Cotton & linters","2018","august",0.417
"Cotton & linters","2018","september",0.68
"Cotton & linters","2018","october",0.002
"Cotton & linters","2018","november",0.007
"Cotton & linters","2018","december",0.426
"Wine","2018","january",461.722
"Wine","2018","february",491.998
"Wine","2018","march",555.326
"Wine","2018","april",587.44
"Wine","2018","may",549.313
"Wine","2018","june",495.293
"Wine","2018","july",542.276
"Wine","2018","august",549.543
"Wine","2018","september",468.211
"Wine","2018","october",612.625
"Wine","2018","november",525.87
"Wine","2018","december",500.623
"Malt beverages","2018","january",423.314
"Malt beverages","2018","february",394.034
"Malt beverages","2018","march",455.7
"Malt beverages","2018","april",477.519
"Malt beverages","2018","may",528.295
"Malt beverages","2018","june",473.189
"Malt beverages","2018","july",500.531
"Malt beverages","2018","august",483.156
"Malt beverages","2018","september",426.949
"Malt beverages","2018","october",428.004
"Malt beverages","2018","november",376.757
"Malt beverages","2018","december",384.425
"Essential oils","2018","january",254.351
"Essential oils","2018","february",290.917
"Essential oils","2018","march",244.869
"Essential oils","2018","april",269.105
"Essential oils","2018","may",278.686
"Essential oils","2018","june",251.675
"Essential oils","2018","july",294.228
"Essential oils","2018","august",212.697
"Essential oils","2018","september",242.262
"Essential oils","2018","october",279.635
"Essential oils","2018","november",234.071
"Essential oils","2018","december",315.786
"Cut flowers & nursery stock","2018","january",207.647
"Cut flowers & nursery stock","2018","february",224.697
"Cut flowers & nursery stock","2018","march",160.353
"Cut flowers & nursery stock","2018","april",208.723
"Cut flowers & nursery stock","2018","may",258.042
"Cut flowers & nursery stock","2018","june",130.542
"Cut flowers & nursery stock","2018","july",117.623
"Cut flowers & nursery stock","2018","august",136.068
"Cut flowers & nursery stock","2018","september",148.482
"Cut flowers & nursery stock","2018","october",158.586
"Cut flowers & nursery stock","2018","november",195.73
"Cut flowers & nursery stock","2018","december",151.421
"Sugar & related products","2018","january",368.268
"Sugar & related products","2018","february",335.09
"Sugar & related products","2018","march",425.655
"Sugar & related products","2018","april",429.014
"Sugar & related products","2018","may",449.781
"Sugar & related products","2018","june",355.828
"Sugar & related products","2018","july",426.769
"Sugar & related products","2018","august",401.288
"Sugar & related products","2018","september",373.504
"Sugar & related products","2018","october",415.509
"Sugar & related products","2018","november",379.341
"Sugar & related products","2018","december",312.633
"Confections","2018","january",141.933
"Confections","2018","february",138.251
"Confections","2018","march",155.032
"Confections","2018","april",152.203
"Confections","2018","may",167.745
"Confections","2018","june",158.333
"Confections","2018","july",176.066
"Confections","2018","august",174.208
"Confections","2018","september",157.582
"Confections","2018","october",175.16
"Confections","2018","november",161.002
"Confections","2018","december",147.193
"Cocoa & products","2018","january",458.188
"Cocoa & products","2018","february",419.661
"Cocoa & products","2018","march",420.949
"Cocoa & products","2018","april",420.185
"Cocoa & products","2018","may",378.038
"Cocoa & products","2018","june",324.201
"Cocoa & products","2018","july",369.755
"Cocoa & products","2018","august",400.153
"Cocoa & products","2018","september",360.366
"Cocoa & products","2018","october",404.487
"Cocoa & products","2018","november",380.619
"Cocoa & products","2018","december",377.698
"Coffee & products","2018","january",479.062
"Coffee & products","2018","february",494.651
"Coffee & products","2018","march",520.749
"Coffee & products","2018","april",533.925
"Coffee & products","2018","may",567.3
"Coffee & products","2018","june",522.925
"Coffee & products","2018","july",523.036
"Coffee & products","2018","august",509.912
"Coffee & products","2018","september",433.247
"Coffee & products","2018","october",503.372
"Coffee & products","2018","november",477.169
"Coffee & products","2018","december",488.134
"Rubber, natural","2018","january",134.639
"Rubber, natural","2018","february",119.164
"Rubber, natural","2018","march",151.266
"Rubber, natural","2018","april",121.139
"Rubber, natural","2018","may",161.682
"Rubber, natural","2018","june",136.741
"Rubber, natural","2018","july",100.76
"Rubber, natural","2018","august",130.215
"Rubber, natural","2018","september",131.722
"Rubber, natural","2018","october",143.764
"Rubber, natural","2018","november",106.165
"Rubber, natural","2018","december",101.078
